Game no. 19003, scored 41, dcards: 1 complete and 2 incomplete totaling 3 for -7 points, took 150 turns (1.14 seconds)
Game no. 19004, scored 69, dcards: 3 complete and 0 incomplete totaling 3 for 26 points, took 143 turns (1.12 seconds)
Game no. 19005, scored 69, dcards: 3 complete and 0 incomplete totaling 3 for 28 points, took 140 turns (1.17 seconds)
Game no. 19006, scored 16, dcards: 1 complete and 2 incomplete totaling 3 for -17 points, took 149 turns (1.29 seconds)
Game no. 19007, scored 32, dcards: 1 complete and 2 incomplete totaling 3 for -15 points, took 153 turns (1.25 seconds)
Game no. 19008, scored 88, dcards: 2 complete and 0 incomplete totaling 2 for 28 points, took 145 turns (1.17 seconds)
Game no. 19009, scored 114, dcards: 2 complete and 0 incomplete totaling 2 for 32 points, took 148 turns (1.23 seconds)
Game no. 19010, scored 94, dcards: 3 complete and 0 incomplete totaling 3 for 38 points, took 157 turns (1.33 seconds)
Game no. 19011, scored 48, dcards: 2 complete and 1 incomplete totaling 3 for 10 points, took 150 turns (1.21 seconds)
Game no. 19012, scored 21, dcards: 0 complete and 2 incomplete totaling 2 for -29 points, took 155 turns (1.25 seconds)
Game no. 19013, scored 58, dcards: 4 complete and 2 incomplete totaling 6 for 19 points, took 151 turns (1.27 seconds)
Game no. 19014, scored 82, dcards: 2 complete and 0 incomplete totaling 2 for 25 points, took 145 turns (1.20 seconds)
Game no. 19015, scored 88, dcards: 3 complete and 0 incomplete totaling 3 for 31 points, took 161 turns (1.27 seconds)
Game no. 19016, scored 99, dcards: 3 complete and 0 incomplete totaling 3 for 38 points, took 135 turns (1.11 seconds)
Game no. 19017, scored 115, dcards: 2 complete and 0 incomplete totaling 2 for 33 points, took 162 turns (1.28 seconds)
Game no. 19018, scored 13, dcards: 1 complete and 2 incomplete totaling 3 for -22 points, took 143 turns (1.21 seconds)
Game no. 19019, scored -8, dcards: 0 complete and 3 incomplete totaling 3 for -42 points, took 146 turns (1.22 seconds)
Game no. 19020, scored 87, dcards: 2 complete and 1 incomplete totaling 3 for 23 points, took 140 turns (1.21 seconds)
Game no. 19021, scored 38, dcards: 2 complete and 2 incomplete totaling 4 for -4 points, took 157 turns (1.29 seconds)
Game no. 19022, scored 63, dcards: 2 complete and 1 incomplete totaling 3 for 3 points, took 144 turns (1.20 seconds)
Game no. 19023, scored 129, dcards: 3 complete and 0 incomplete totaling 3 for 53 points, took 154 turns (1.25 seconds)
Game no. 19024, scored -4, dcards: 1 complete and 3 incomplete totaling 4 for -29 points, took 134 turns (1.13 seconds)
Game no. 19025, scored 17, dcards: 1 complete and 3 incomplete totaling 4 for -29 points, took 147 turns (1.20 seconds)
Game no. 19026, scored 72, dcards: 3 complete and 0 incomplete totaling 3 for 29 points, took 154 turns (1.29 seconds)
Game no. 19027, scored 94, dcards: 2 complete and 0 incomplete totaling 2 for 31 points, took 160 turns (1.30 seconds)
Game no. 19028, scored 40, dcards: 1 complete and 1 incomplete totaling 2 for -7 points, took 160 turns (1.30 seconds)
Game no. 19029, scored 102, dcards: 3 complete and 0 incomplete totaling 3 for 26 points, took 150 turns (1.23 seconds)
Game no. 19030, scored -12, dcards: 0 complete and 3 incomplete totaling 3 for -59 points, took 159 turns (1.36 seconds)
Game no. 19031, scored -6, dcards: 0 complete and 3 incomplete totaling 3 for -46 points, took 148 turns (1.20 seconds)
Game no. 19032, scored -4, dcards: 0 complete and 3 incomplete totaling 3 for -37 points, took 137 turns (1.13 seconds)
Game no. 19033, scored 1, dcards: 0 complete and 3 incomplete totaling 3 for -39 points, took 160 turns (1.29 seconds)
Game no. 19034, scored 49, dcards: 2 complete and 1 incomplete totaling 3 for 8 points, took 153 turns (1.22 seconds)
Game no. 19035, scored 11, dcards: 0 complete and 3 incomplete totaling 3 for -36 points, took 158 turns (1.30 seconds)
Game no. 19036, scored 56, dcards: 2 complete and 1 incomplete totaling 3 for 6 points, took 142 turns (1.17 seconds)
Game no. 19037, scored 43, dcards: 1 complete and 2 incomplete totaling 3 for 3 points, took 152 turns (1.25 seconds)
Game no. 19038, scored 90, dcards: 3 complete and 0 incomplete totaling 3 for 31 points, took 171 turns (1.42 seconds)
Game no. 19039, scored 115, dcards: 3 complete and 0 incomplete totaling 3 for 34 points, took 167 turns (1.38 seconds)
Game no. 19040, scored 63, dcards: 2 complete and 1 incomplete totaling 3 for 11 points, took 165 turns (1.30 seconds)
Game no. 19041, scored 30, dcards: 1 complete and 2 incomplete totaling 3 for -23 points, took 165 turns (1.33 seconds)
